Year,Edad,fx
2000,20-24,0.17621
2000,25-29,0.14581
2000,30-34,0.10827
2000,35-39,0.05889
2000,40-44,0.02128
2000,45-49,0.00268
2001,15-19,0.08659
2001,20-24,0.17198
2001,25-29,0.1441
2001,30-34,0.10625
2001,35-39,0.05698
2001,40-44,0.02027
2001,45-49,0.00253
2002,15-19,0.08448
2002,20-24,0.16699
2002,25-29,0.14221
2002,30-34,0.10438
2002,35-39,0.05538
2002,40-44,0.01929
2002,45-49,0.00239
2003,15-19,0.08245
2003,20-24,0.16204
2003,25-29,0.14053
2003,30-34,0.10289
2003,35-39,0.05432
2003,40-44,0.01849
2003,45-49,0.00229
2004,15-19,0.08018
2004,20-24,0.15784
2004,25-29,0.13898
2004,30-34,0.10138
2004,35-39,0.0536
2004,40-44,0.01779
2004,45-49,0.00224
2005,15-19,0.07751
2005,20-24,0.15391
2005,25-29,0.13732
2005,30-34,0.09942
2005,35-39,0.05285
2005,40-44,0.01697
2005,45-49,0.00225
2006,15-19,0.07482
2006,20-24,0.15052
2006,25-29,0.13556
2006,30-34,0.09703
2006,35-39,0.05192
2006,40-44,0.01608
2006,45-49,0.00228
2007,15-19,0.07257
2007,20-24,0.14756
2007,25-29,0.13398
2007,30-34,0.09456
2007,35-39,0.05068
2007,40-44,0.01522
2007,45-49,0.00229
2008,15-19,0.07068
2008,20-24,0.14442
2008,25-29,0.1328
2008,30-34,0.09211
2008,35-39,0.0493
2008,40-44,0.01448
2008,45-49,0.00226
2009,15-19,0.06878
2009,20-24,0.1412
2009,25-29,0.13164
2009,30-34,0.08959
2009,35-39,0.04795
2009,40-44,0.01398
2009,45-49,0.00215
2010,15-19,0.06682
2010,20-24,0.13805
2010,25-29,0.13046
2010,30-34,0.0873
2010,35-39,0.04684
2010,40-44,0.01381
2010,45-49,0.00202
2011,15-19,0.06894
2011,20-24,0.13695
2011,25-29,0.12788
2011,30-34,0.08552
2011,35-39,0.04541
2011,40-44,0.01355
2011,45-49,0.0016
2012,15-19,0.07083
2012,20-24,0.1353
2012,25-29,0.12533
2012,30-34,0.08417
2012,35-39,0.04446
2012,40-44,0.01337
2012,45-49,0.00134
2013,15-19,0.07258
2013,20-24,0.13332
2013,25-29,0.12264
2013,30-34,0.08321
2013,35-39,0.04363
2013,40-44,0.01316
2013,45-49,0.00113
2014,15-19,0.07416
2014,20-24,0.13167
2014,25-29,0.12009
2014,30-34,0.08265
2014,35-39,0.0427
2014,40-44,0.01286
2014,45-49,0.00097
2015,15-19,0.07506
2015,20-24,0.13036
2015,25-29,0.11793
2015,30-34,0.08201
2015,35-39,0.04132
2015,40-44,0.01224
2015,45-49,0.00077
